,model_name,meter_type,rmse_train,rmse_test,R2-train,R2-test,Exec-time
0,Linear_Reg,0,0.9439264953380658,0.9442827793740599,0.7052922303929546,0.6307588074724864,41.381553
1,Linear_Reg,1,1.469940564245061,1.4376985354029,0.6556010117299045,0.6675153794615234,6.846667
2,Linear_Reg,2,1.5725112254716285,1.550215866715168,0.648583775998328,0.5432948757844825,5.685645
3,Linear_Reg,3,1.5791789545893407,1.8857589235382821,0.6317326527017482,0.45708660923171907,2.03845
4,LR_Drop_CorrCols,0,0.9532564713414516,0.9017190042798758,0.69943752594885,0.66329586398833,4.102716
5,LR_Drop_CorrCols,1,1.5233369468313858,1.7596777024812118,0.630125604425245,0.5019164914027231,1.303316
6,LR_Drop_CorrCols,2,1.5964707379255856,1.690108808633485,0.6377935126812566,0.45714872825609365,0.715639
7,LR_Drop_CorrCols,3,1.5923006539705657,2.04572001775136,0.6255872191733834,0.3610739428972597,0.282549
8,LR with Standard Scaler,0,0.9532564713414515,0.9017190042799119,0.6994375259488501,0.6632958639883031,7.62765
9,LR with Standard Scaler,1,1.5233369468313858,1.7596777024812347,0.630125604425245,0.5019164914027101,2.433258
10,LR with Standard Scaler,2,1.5964707379255858,1.6901088086336622,0.6377935126812564,0.45714872825597974,1.720169
11,LR with Standard Scaler,3,1.5923006539705655,2.0457200177513912,0.6255872191733836,0.36107394289724004,0.563326
12,Ridge regression,0,0.9532564713414572,0.901718963507134,0.6994375259488466,0.6632958944376173,6.270792
13,Ridge regression,1,1.5233369468314204,1.7596778542049147,0.6301256044252282,0.5019164055107699,1.848116
14,Ridge regression,2,1.5964707379256875,1.6901088532214241,0.6377935126812104,0.4571486996134173,0.912063
15,Ridge regression,3,1.5923006539712095,2.045720212638919,0.6255872191730807,0.36107382116139686,0.404833
16,SGDRegressor,0,0.9537858096023255,0.900318320772219,0.6991036317754387,0.6643410890222455,19.924649
17,SGDRegressor,1,1.5240037202541996,1.7162097321096723,0.6298017412230911,0.5262201114261493,6.584681
18,SGDRegressor,2,1.5972140000091954,1.7031031291122898,0.6374561723084535,0.4487692671614766,4.153113
19,SGDRegressor,3,1.593484122936579,1.989243249611766,0.6250304517393788,0.3958650006148722,1.809515
20,LGBM,0,0.46332610591420303,0.7118848928227681,0.9289950257089895,0.7901419857769795,137.199562
21,LGBM,1,1.0564239278265257,1.4992308561329657,0.8221152261105857,0.6384462048058015,41.101829
22,LGBM,2,1.1386724423765395,1.5729946917081956,0.8157396382170623,0.5297746448017009,24.622509
23,LGBM,3,1.1532866074710224,1.8852870490001092,0.8035848350952421,0.4573582822959994,12.236544
